⍺,AUC,S.P,TPR,FPR,EoD
0,0.712623124,0.107326146,0.114569935,0.084216738,0.099393336
0.1,0.714143033,0.101482247,0.107781765,0.076880552,0.092331158
0.2,0.71322742,0.095217283,0.104196303,0.073989516,0.08909291
0.3,0.713567202,0.090457911,0.100072655,0.069866546,0.0849696
0.4,0.713773993,0.083005815,0.091781385,0.062866426,0.077323905
0.5,0.714851654,0.078635726,0.087855164,0.062673651,0.075264408
0.6,0.713712273,0.076163211,0.083662125,0.057976668,0.070819396
0.7,0.714689607,0.072508295,0.081334587,0.056442689,0.068888638
0.8,0.714341186,0.06707831,0.073740385,0.054439292,0.064089838
0.9,0.71396244,0.064148314,0.070675215,0.048633629,0.059654422
1,0.7156,0.070966,0.075656,0.051966,0